name,category,ingredient
두부 커틀릿 랩,다이어트 메인요리,두부 또띠아 로메인상추 달걀 밀가루 빵가루 양파 파마산치즈 마요네즈 다진 양파 다진 마늘 앤초비 식초 설탕 파마산 치즈가루 파슬리 가루 후춧가루
표고버섯탕수,중식 퓨전,표고버섯 식용유 소금 찹쌀가루 전분 물 빨간 노란 파프리카 적양파 생강 가루 간장 올리고당 식초 설탕 물 전분 물
고추전,한식,아삭이고추 다진 돼지고기 두부 양파 부침가루 계란 흰자 홍고추 굴소스 청주 다진 마늘 생강가루 참기름 소금 후춧가루 달걀 부침가루 진간장 물 설탕 식초 다진 양파 청고추
황태갈비,밑반찬 한식,황태 밀가루 전분 식용유 간장 올리고당 갈색 설탕 맛술 다진 마늘 다진 파 참기름 통깨
코코넛쉬림프,메인요리,손질 새우 밀가루 달걀 코코넛 슬라이스 식용유 라임 칠리소스 맛술 소금 후춧가루
고구마 크로켓,오븐 요리,삶은 고구마 다진 양파 다진 파프리카 다진 당근 다진 파슬리 식용유 소금 후춧가루 밀가루 빵가루 달걀 소금 후춧가루
홍합숙주무침,한식 밑반찬,자숙 홍합살 숙주 쪽파 다진 홍고추 맛소금 참기름 통깨 국간장
소떡소떡,간단요리 간식,떡볶이 떡 비엔나 소시지 다진 견과류 꼬치 파슬리 가루 식용유 스위트 칠리소스 케찹 올리고당 고추장 간장 다진 마늘
전복솥밥,메인요리,전복 표고버섯 쪽파 쌀 찹쌀 버터 다시마육수(또는 물 2컵+초이스레시피 멸치육수 2포) 맛술 간장 참기름 통깨
수박 감태 주먹밥,도시락 메인요리,구운 감태 김 밥 명란젓 검은깨 소금 참기름 허브줄기(장식용 생략가능) 비트가루 참기름 소금
육칼만두전골,메인요리,요리면 만두 배춧잎 대파 표고버섯 느타리버섯 청양고추 홍고추 쑥갓 사골국물 소금
집코바,메인요리,닭다리살 우유 대파 청양고추 홍고추 떡볶이 떡 통깨 소금 후춧가루 고춧가루 고추장 진간장 케첩 굴소스 올리고당 설탕 다진 마늘 맛술 물
수박 감태 주먹밥,간식 메인요리,구운 감태 밥 명란젓 소금 참기름 검은깨 마요네즈 설탕 참기름 후춧가루 통깨 비트가루 참기름 소금
통마늘 장아찌,채식 밑반찬,통마늘 양조식초 물 1차 식초물 설탕 천일염
성게미역국,한식,성게 건 미역 다시마 육수 국간장 참기름 멸치액젓 소금
갈비찜,한식 메인요리,LA갈비 표고버섯 양파 대파 무 감자 당근 간장 물 다진 파 생강가루 다진 마늘 흑설탕 맛술 참기름 후춧가루
꼬막비빔밥,한식 메인요리,새꼬막 밥 참기름 통깨 양파 쪽파 홍고추 청양고추 부추 고춧가루 간장 설탕 다진 마늘 생강가루
생곤드레 나물무침,채식 밑반찬,생 곤드레 소금 간장 다진 마늘 다진 파 들기름 소금 통깨
구운 파프리카 마리네이드,간단요리,파프리카 올리브오일 소금 마늘
생곤드레 솥밥,메인요리,생 곤드레 불린 쌀 물 들기름 소금 간장 맛술 올리고당 고춧가루 다진 마늘 다진 청양고추 참기름 통깨
멍게비빔밥,한식,멍게 부추 청양고추 밥 다진 마늘 소금 참기름 깨소금
곤드레전,간단요리 한식,생 곤드레 식용유 소금 부침가루 물 간장 맛술 식초 잘게 썬 양파 잘게 썬 홍고추 통깨
묵은지 고등어찜,메인요리,묵은지 손질 고등어 대파 양파 홍고추 김치 국물 간장 맛술 설탕 생강가루 다진 마늘
새우완자찜,중식 메인요리,새우살 청경채 만가닥버섯 대파 마늘 달걀 흰자 녹말가루 다진 마늘 다진 파 후춧가루 간장 식초 설탕 물
